"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"AdaBoost";"MLP";"AUC";"0.2861";"0.0500";"-0.011";"[-0.066, +0.061]";"0.674";"0.001";"[0.000, 0.004]";"0.048";"0";"0.0";"";"(2) Decision by Cliff's d";
"RandomForest";"AdaBoost";"Sensitivity";"0.0000";"0.0025";"+0.832";"[+0.725, +0.903]";"0.727";"0.069";"[0.060, 0.079]";"0.069";"1";"50.6";"1";"";
"GradientBoosting";"MLP";"Sensitivity";"0.0000";"0.0013";"-0.886";"[-0.944, -0.798]";"0.727";"0.072";"[0.067, 0.078]";"0.069";"1";"86.4";"1";"";
"SVM_Linear";"ExtraTrees";"Sensitivity";"0.0000";"0.0036";"-0.759";"[-0.854, -0.631]";"0.727";"0.069";"[0.057, 0.080]";"0.069";"1";"45.5";"1";"";
"DecisionTree";"NaiveBayes";"Sensitivity";"0.0000";"0.0021";"+1.000";"[+1.000, +1.000]";"0.727";"0.614";"[0.595, 0.638]";"0.069";"1";"100.0";"1";"";
"KNN";"NaiveBayes";"Sensitivity";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.727";"0.584";"[0.567, 0.603]";"0.069";"1";"100.0";"1";"";
"RandomForest";"SVM_Linear";"Sensitivity";"0.0000";"0.0017";"+0.904";"[+0.802, +0.957]";"0.727";"0.086";"[0.075, 0.098]";"0.069";"1";"99.8";"0";"Ranking already correct";
"RandomForest";"DecisionTree";"Sensitivity";"0.0000";"0.0024";"+0.943";"[+0.872, +0.976]";"0.727";"0.093";"[0.081, 0.104]";"0.069";"1";"100.0";"0";"Ranking already correct";
"RandomForest";"KNN";"Sensitivity";"0.0000";"0.0022";"+0.984";"[+0.945, +0.996]";"0.727";"0.126";"[0.113, 0.140]";"0.069";"1";"100.0";"0";"Ranking already correct";
"RandomForest";"NaiveBayes";"Sensitivity";"0.0000";"0.0019";"+1.000";"[+1.000, +1.000]";"0.727";"0.697";"[0.682, 0.716]";"0.069";"1";"100.0";"0";"Ranking already correct";
"RandomForest";"MLP";"Sensitivity";"0.0000";"0.0029";"-0.883";"[-0.942, -0.787]";"0.727";"0.074";"[0.066, 0.081]";"0.069";"1";"88.4";"0";"Ranking already correct";
"GradientBoosting";"SVM_Linear";"Sensitivity";"0.0000";"0.0012";"+0.880";"[+0.793, +0.937]";"0.727";"0.088";"[0.082, 0.095]";"0.069";"1";"100.0";"0";"Ranking already correct";
"GradientBoosting";"DecisionTree";"Sensitivity";"0.0000";"0.0028";"+0.935";"[+0.843, +0.972]";"0.727";"0.095";"[0.081, 0.108]";"0.069";"1";"100.0";"0";"Ranking already correct";
